Data da Extração,Número,Classe,Procurador Responsável,Órgão Padronizado,Valor da causa,Status Normalizado,UF_1,UF_2
2025-11-30,1713941-56.2024.4.01.3845,Agravo de Instrumento,Cecilia Costela,QUINTA TURMA,41364.22,PENDENTE,ES,
2025-12-07,1259497-38.2024.4.01.3814,Agravo de Instrumento,Brayan Teixeira,QUARTA TURMA,7874.24,PENDENTE,CE,
2025-12-30,2715453-16.2020.4.01.3469,Agravo de Instrumento,Brayan Teixeira,SEGUNDA SEÇÃO,41550.0,PENDENTE,AC,
2025-12-25,4674010-68.2025.4.01.3541,Execução Fiscal,Cecilia Costela,TERCEIRA TURMA,33884.94,PENDENTE,PI,
2025-12-06,5617790-32.2022.4.01.3157,Apelação Cível,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,13204.22,CONCLUÍDO,MG,
2026-01-14,9903392-94.2023.4.01.3028,Execução Fiscal,Liz Guerra,SEGUNDA SEÇÃO,53214.81,PENDENTE,PI,
2026-01-17,8723547-33.2025.4.01.3547,Agravo de Instrumento,Isabela da Paz,PRIMEIRA SEÇÃO,19349.26,PENDENTE,RS,
2026-01-26,9773392-17.2020.4.01.3775,Agravo de Instrumento,Brayan Teixeira,PRIMEIRA TURMA,37897.49,PENDENTE,PA,
2025-12-17,5693773-70.2022.4.01.3400,Mandado de Segurança,Anthony Nogueira,SEGUNDA TURMA,22154.17,PENDENTE,MA,
2025-12-13,6427248-41.2022.4.01.3535,Apelação Cível,Benjamin Moraes,QUARTA TURMA,29517.1,PENDENTE,DF,
2025-12-03,1479632-30.2022.4.01.3618,Apelação Cível,Cecilia Costela,TERCEIRA SEÇÃO,38563.5,PENDENTE,BA,
2025-12-05,6526813-17.2020.4.01.3321,Agravo de Instrumento,Cecilia Costela,SEGUNDA SEÇÃO,17078.93,PENDENTE,PI,
2025-11-30,7192414-54.2025.4.01.3955,Mandado de Segurança,Liz Guerra,,29893.76,PENDENTE,RN,
2026-01-26,9210023-61.2020.4.01.3862,Apelação Cível,Benjamin Moraes,TERCEIRA SEÇÃO,36154.75,PENDENTE,MA,
2026-01-06,9277914-84.2021.4.01.3249,Execução Fiscal,Evelyn da Cruz,SEGUNDA TURMA,52194.23,PENDENTE,DF,
2026-01-24,2455265-66.2021.4.01.3090,Agravo de Instrumento,Cecilia Costela,CORTE ESPECIAL,31371.15,CONCLUÍDO,MS,
2025-12-21,2794378-27.2021.4.01.3268,Execução Fiscal,Isabela da Paz,TERCEIRA SEÇÃO,13294.64,PENDENTE,SE,
2025-12-05,9772754-81.2021.4.01.3516,Agravo de Instrumento,Brayan Teixeira,QUARTA TURMA,15195.95,CONCLUÍDO,MA,
2026-01-16,4775665-67.2023.4.01.3444,Apelação Cível,Benjamin Moraes,PRIMEIRA SEÇÃO,34144.25,CONCLUÍDO,PB,
2025-12-12,4676904-14.2024.4.01.3861,Mandado de Segurança,Leonardo Sales,SEXTA TURMA,41160.49,PENDENTE,"SE",AP
2026-01-09,1499886-91.2025.4.01.3717,Apelação Cível,Cecilia Costela,Não Informado,6019.08,PENDENTE,GO,
2025-11-29,7163038-64.2022.4.01.3903,Apelação Cível,Isabela da Paz,TERCEIRA SEÇÃO,34926.38,CONCLUÍDO,CE,
2025-12-04,8053530-64.2022.4.01.3043,Apelação Cível,Luiz Miguel Albuquerque,TERCEIRA SEÇÃO,30415.77,CONCLUÍDO,MG,
2025-12-09,7508550-63.2023.4.01.3300,Execução Fiscal,Leonardo Sales,SEGUNDA TURMA,41675.01,PENDENTE,PA,
2025-12-21,5600186-17.2021.4.01.3295,Mandado de Segurança,Luiz Miguel Albuquerque,TERCEIRA SEÇÃO,18100.9,CONCLUÍDO,SP,
2026-01-17,5583808-72.2021.4.01.3267,Agravo de Instrumento,Rafael Ramos,PRIMEIRA TURMA,18388.91,CONCLUÍDO,RJ,
2026-01-03,9790416-35.2023.4.01.3662,Apelação Cível,Leonardo Sales,SEGUNDA SEÇÃO,19558.51,PENDENTE,PI,
2025-12-24,1193845-11.2025.4.01.3398,Apelação Cível,Evelyn da Cruz,CORTE ESPECIAL,20881.34,PENDENTE,RS,
2026-01-27,4001996-11.2025.4.01.3469,Apelação Cível,Liz Guerra,SEGUNDA TURMA,32546.07,CONCLUÍDO,PE,
2026-01-11,3202087-18.2023.4.01.3295,Apelação Cível,Brayan Teixeira,QUARTA TURMA,14932.67,CONCLUÍDO,RJ,
2025-12-10,5900703-51.2024.4.01.3867,Execução Fiscal,Luiz Miguel Albuquerque,TERCEIRA TURMA,41036.18,PENDENTE,AC,
2025-12-03,7174736-32.2023.4.01.3321,Execução Fiscal,Brayan Teixeira,TERCEIRA TURMA,22242.08,PENDENTE,BA,
2026-01-23,2752983-69.2021.4.01.3085,Mandado de Segurança,Rafael Ramos,CORTE ESPECIAL,29477.25,CONCLUÍDO,"RJ",MA
2026-01-07,7020876-85.2021.4.01.3666,Execução Fiscal,Luiz Miguel Albuquerque,SEGUNDA SEÇÃO,40677.9,PENDENTE,MA,
2026-01-25,5587198-20.2024.4.01.3584,Agravo de Instrumento,Brayan Teixeira,CORTE ESPECIAL,35339.18,CONCLUÍDO,SE,
2025-12-14,3384448-64.2020.4.01.3609,Apelação Cível,Anthony Nogueira,SEGUNDA SEÇÃO,12334.31,PENDENTE,AC,
2026-01-08,9720991-48.2023.4.01.3143,Mandado de Segurança,Isabela da Paz,SEXTA TURMA,7729.6,PENDENTE,MG,
2026-01-07,6891696-82.2025.4.01.3085,Execução Fiscal,Francisco da Paz,TERCEIRA TURMA,7043.05,PENDENTE,"CE",BA
2026-01-17,4413233-19.2021.4.01.3659,Agravo de Instrumento,Luiz Miguel Albuquerque,TERCEIRA TURMA,4196.84,CONCLUÍDO,SE,
2026-01-02,4967448-94.2020.4.01.3489,Mandado de Segurança,Anthony Nogueira,QUINTA TURMA,13353.18,PENDENTE,"DF",RR
2025-12-12,9238636-75.2021.4.01.3450,Agravo de Instrumento,Leonardo Sales,CORTE ESPECIAL,7586.53,CONCLUÍDO,PI,
2025-12-12,9177076-16.2021.4.01.3049,Agravo de Instrumento,Rafael Ramos,QUINTA TURMA,32863.92,PENDENTE,AM,
2025-11-30,9298514-90.2023.4.01.3683,Mandado de Segurança,Brayan Teixeira,QUINTA TURMA,36623.2,PENDENTE,"MT",AL
2025-12-28,5575655-72.2022.4.01.3370,Mandado de Segurança,Brayan Teixeira,QUARTA TURMA,18495.73,PENDENTE,MG,
2026-01-15,1608762-86.2025.4.01.3845,Agravo de Instrumento,Ana Laura Vargas,QUARTA TURMA,4740.5,PENDENTE,SC,
2026-01-20,4903815-29.2024.4.01.3608,Apelação Cível,Evelyn da Cruz,QUARTA TURMA,36194.64,PENDENTE,ES,
2026-01-04,2341473-25.2025.4.01.3767,Execução Fiscal,Francisco da Paz,QUINTA TURMA,29615.86,PENDENTE,RJ,
2025-12-04,6783525-50.2023.4.01.3951,Agravo de Instrumento,Evelyn da Cruz,PRIMEIRA SEÇÃO,46556.88,CONCLUÍDO,MS,
2025-12-25,7856345-96.2021.4.01.3789,Execução Fiscal,Luiz Miguel Albuquerque,TERCEIRA TURMA,27429.27,PENDENTE,MT,
2025-12-10,2696563-90.2023.4.01.3917,Apelação Cível,Liz Guerra,PRIMEIRA TURMA,19737.6,PENDENTE,DF,
2026-01-20,3451792-28.2024.4.01.3380,Agravo de Instrumento,Liz Guerra,PRIMEIRA TURMA,47297.11,PENDENTE,RJ,
2026-01-13,7977857-58.2023.4.01.3492,Apelação Cível,Benjamin Moraes,,54909.53,PENDENTE,TO,
2025-12-16,8539078-16.2022.4.01.3327,Apelação Cível,Rafael Ramos,PRIMEIRA SEÇÃO,4646.69,PENDENTE,AC,
2026-01-17,1946482-99.2020.4.01.3711,Agravo de Instrumento,Anthony Nogueira,PRIMEIRA SEÇÃO,11214.72,PENDENTE,ES,
2026-01-03,6259858-58.2024.4.01.3082,Mandado de Segurança,Benjamin Moraes,TERCEIRA SEÇÃO,39719.77,CONCLUÍDO,BA,
2025-12-02,3410919-67.2023.4.01.3872,Apelação Cível,Liz Guerra,TERCEIRA SEÇÃO,29478.53,PENDENTE,RN,
2025-12-27,8256311-89.2023.4.01.3185,Agravo de Instrumento,Rafael Ramos,QUINTA TURMA,14370.34,PENDENTE,RS,
2025-12-13,2772512-23.2020.4.01.3571,Agravo de Instrumento,Francisco da Paz,SEXTA TURMA,9525.04,PENDENTE,AP,
2025-12-18,3563092-43.2025.4.01.3719,Mandado de Segurança,Brayan Teixeira,QUINTA TURMA,40879.09,CONCLUÍDO,SE,
2025-12-13,7193304-66.2023.4.01.3954,Execução Fiscal,Rafael Ramos,PRIMEIRA TURMA,32574.33,CONCLUÍDO,PB,
2026-01-04,9504687-71.2020.4.01.3243,Execução Fiscal,Anthony Nogueira,SEGUNDA SEÇÃO,7060.81,PENDENTE,PR,
2026-01-09,3224633-21.2020.4.01.3808,Agravo de Instrumento,Rafael Ramos,QUARTA TURMA,8202.82,CONCLUÍDO,PR,
2025-12-05,6189337-30.2024.4.01.3174,Agravo de Instrumento,Leonardo Sales,QUINTA TURMA,35244.41,PENDENTE,MG,
2025-12-19,1882083-87.2021.4.01.3844,Apelação Cível,Isabela da Paz,SEGUNDA TURMA,23480.1,PENDENTE,MT,
2026-01-21,6273516-32.2022.4.01.3294,Mandado de Segurança,Luiz Miguel Albuquerque,TERCEIRA TURMA,21491.83,PENDENTE,AP,
2025-12-12,9428953-32.2023.4.01.3391,Apelação Cível,Francisco da Paz,SEXTA TURMA,33692.95,CONCLUÍDO,TO,
2025-11-30,8310343-16.2025.4.01.3950,Mandado de Segurança,Liz Guerra,SEXTA TURMA,41491.62,PENDENTE,AM,
2025-12-17,8422384-65.2024.4.01.3247,Apelação Cível,Evelyn da Cruz,SEGUNDA TURMA,5285.94,PENDENTE,DF,
2026-01-13,6706869-90.2023.4.01.3292,Mandado de Segurança,Benjamin Moraes,QUINTA TURMA,48262.56,PENDENTE,SP,
2025-12-12,1611702-40.2022.4.01.3556,Agravo de Instrumento,Ana Laura Vargas,PRIMEIRA TURMA,11891.74,PENDENTE,PI,
2025-12-01,9132928-43.2023.4.01.3229,Execução Fiscal,Cecilia Costela,QUARTA TURMA,16840.84,PENDENTE,TO,
2026-01-05,7163963-85.2020.4.01.3640,Mandado de Segurança,Ana Laura Vargas,SEGUNDA SEÇÃO,49658.99,PENDENTE,GO,
2025-12-06,6874962-65.2025.4.01.3566,Execução Fiscal,Benjamin Moraes,TERCEIRA TURMA,18455.73,CONCLUÍDO,AP,
2025-12-20,6915445-97.2025.4.01.3155,Mandado de Segurança,Benjamin Moraes,,12763.72,CONCLUÍDO,PI,
2026-01-21,6418257-35.2020.4.01.3463,Apelação Cível,Francisco da Paz,SEGUNDA TURMA,42417.18,CONCLUÍDO,MA,
2026-01-01,4525540-82.2023.4.01.3832,Agravo de Instrumento,Anthony Nogueira,TERCEIRA SEÇÃO,49325.86,PENDENTE,SP,
2025-12-24,3557382-99.2024.4.01.3354,Mandado de Segurança,Evelyn da Cruz,CORTE ESPECIAL,37431.16,CONCLUÍDO,SP,
2026-01-20,5009458-15.2021.4.01.3825,Mandado de Segurança,Luiz Miguel Albuquerque,Não Informado,22940.52,CONCLUÍDO,BA,
2025-12-16,6982049-87.2022.4.01.3036,Apelação Cível,Anthony Nogueira,PRIMEIRA TURMA,25778.39,PENDENTE,DF,
2026-01-21,1917004-12.2024.4.01.3704,Execução Fiscal,Francisco da Paz,SEGUNDA TURMA,46802.2,PENDENTE,PB,
2025-12-01,2569857-84.2025.4.01.3439,Mandado de Segurança,Cecilia Costela,CORTE ESPECIAL,8687.04,CONCLUÍDO,AP,
2025-12-27,8558070-85.2025.4.01.3338,Agravo de Instrumento,Cecilia Costela,SEXTA TURMA,7412.9,CONCLUÍDO,AC,
2025-12-05,6548215-95.2023.4.01.3304,Apelação Cível,Brayan Teixeira,CORTE ESPECIAL,16929.5,CONCLUÍDO,DF,
2025-12-01,3555925-70.2020.4.01.3893,Apelação Cível,Benjamin Moraes,PRIMEIRA SEÇÃO,42757.21,PENDENTE,PI,
2026-01-21,1418092-39.2022.4.01.3043,Execução Fiscal,Benjamin Moraes,TERCEIRA SEÇÃO,40118.72,PENDENTE,BA,
2026-01-10,2681430-28.2020.4.01.3462,Execução Fiscal,Isabela da Paz,PRIMEIRA TURMA,27175.85,PENDENTE,PA,
2026-01-07,8869314-18.2021.4.01.3532,Agravo de Instrumento,Cecilia Costela,,18053.57,PENDENTE,RR,
2025-12-25,3011349-74.2023.4.01.3534,Agravo de Instrumento,Leonardo Sales,PRIMEIRA TURMA,24030.74,PENDENTE,SC,
2025-12-02,5036285-31.2023.4.01.3045,Mandado de Segurança,Anthony Nogueira,SEGUNDA SEÇÃO,6401.59,CONCLUÍDO,PB,
2025-12-11,3834540-96.2020.4.01.3904,Execução Fiscal,Leonardo Sales,PRIMEIRA SEÇÃO,28953.33,CONCLUÍDO,PE,
2025-12-01,8264853-54.2024.4.01.3581,Execução Fiscal,Rafael Ramos,QUARTA TURMA,47813.77,PENDENTE,PI,
2025-12-11,5382393-93.2024.4.01.3468,Agravo de Instrumento,Francisco da Paz,SEXTA TURMA,11019.26,CONCLUÍDO,RS,
2026-01-11,3712615-10.2025.4.01.3740,Mandado de Segurança,Benjamin Moraes,TERCEIRA TURMA,11174.35,PENDENTE,BA,
2025-12-06,9435234-43.2024.4.01.3848,Execução Fiscal,Francisco da Paz,PRIMEIRA TURMA,39549.06,CONCLUÍDO,GO,
2025-12-23,8933943-62.2025.4.01.3748,Execução Fiscal,Benjamin Moraes,PRIMEIRA TURMA,4609.75,PENDENTE,PB,
2025-11-30,7775996-83.2021.4.01.3114,Apelação Cível,Cecilia Costela,TERCEIRA SEÇÃO,16190.36,PENDENTE,AC,
2025-12-24,8021814-72.2020.4.01.3253,Mandado de Segurança,Rafael Ramos,SEGUNDA TURMA,3639.41,CONCLUÍDO,PA,
2026-01-11,6680852-52.2020.4.01.3012,Apelação Cível,Brayan Teixeira,QUARTA TURMA,42086.93,CONCLUÍDO,RN,
2025-12-06,4015903-67.2023.4.01.3051,Mandado de Segurança,Benjamin Moraes,SEGUNDA TURMA,29423.59,CONCLUÍDO,SP,
2026-01-22,3975617-16.2021.4.01.3883,Execução Fiscal,Luiz Miguel Albuquerque,Não Informado,21304.22,PENDENTE,PE,
2025-12-15,4875665-18.2024.4.01.3816,Apelação Cível,Benjamin Moraes,SEGUNDA SEÇÃO,18223.58,CONCLUÍDO,PE,
2026-01-17,6215874-40.2021.4.01.3708,Mandado de Segurança,Leonardo Sales,PRIMEIRA TURMA,18296.23,PENDENTE,DF,
2026-01-22,9893634-17.2024.4.01.3432,Mandado de Segurança,Benjamin Moraes,TERCEIRA TURMA,49904.53,PENDENTE,PR,
2026-01-17,4005447-50.2024.4.01.3455,Mandado de Segurança,Brayan Teixeira,SEGUNDA TURMA,29337.84,PENDENTE,AC,
2026-01-16,3541970-19.2020.4.01.3627,Agravo de Instrumento,Leonardo Sales,QUINTA TURMA,28235.52,CONCLUÍDO,TO,
2026-01-04,7391212-72.2025.4.01.3715,Agravo de Instrumento,Ana Laura Vargas,SEGUNDA SEÇÃO,40898.14,PENDENTE,SC,
2026-01-10,8588513-97.2020.4.01.3048,Agravo de Instrumento,Anthony Nogueira,SEGUNDA TURMA,47481.86,CONCLUÍDO,AC,
2025-12-10,1742082-35.2022.4.01.3007,Apelação Cível,Isabela da Paz,TERCEIRA TURMA,11805.47,PENDENTE,PE,
2026-01-21,1296931-75.2023.4.01.3129,Execução Fiscal,Anthony Nogueira,SEGUNDA TURMA,47157.85,PENDENTE,AL,
2025-12-20,7558323-24.2025.4.01.3794,Agravo de Instrumento,Ana Laura Vargas,QUARTA TURMA,10680.53,PENDENTE,PI,
2025-12-20,2472270-65.2025.4.01.3328,Mandado de Segurança,Francisco da Paz,QUARTA TURMA,6667.11,PENDENTE,MS,
2026-01-21,5678707-21.2023.4.01.3202,Mandado de Segurança,Brayan Teixeira,TERCEIRA TURMA,39342.49,CONCLUÍDO,AC,
2026-01-09,2010313-53.2021.4.01.3647,Mandado de Segurança,Luiz Miguel Albuquerque,TERCEIRA SEÇÃO,2552.13,CONCLUÍDO,TO,
2025-12-07,5109584-30.2021.4.01.3718,Agravo de Instrumento,Brayan Teixeira,PRIMEIRA SEÇÃO,4410.89,PENDENTE,DF,
2025-12-07,3994255-48.2024.4.01.3212,Agravo de Instrumento,Cecilia Costela,SEGUNDA SEÇÃO,4010.77,PENDENTE,PE,
